"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W45外資買賣超張數","21W45外資買賣超佔成交(%)"
="4938","和碩","68.5","-0.72","66.6","63.5","63.5","60","+0.59","+2.54","+1.48","-2.97","+10.1","+4,180","+9.02"
="4958","臻鼎-KY","102","+0.49","91.2","90.2","84","84","+3.87","+8.17","-0.49","+4.83","-20","+3,669","+18.3"
="4960","誠美材","12.85","+2.39","11","10","10","9.15","+5.76","+16.8","+2.39","-9.19","+37.7","+14,001","+24.6"
="4961","天鈺","216","+2.13","175.5","175.5","175.5","35.65","+3.6","+14.6","-25.8","-24.6","+510","-22","-0.06"
="5009","榮剛","22.15","+4.48","20.8","20.8","16.3","15.15","+5.48","-3.49","-20.8","0","+43.8","-234","-1.27"
="5222","全訊","188","-3.09","","","","","-4.08","","","","","+191","+0.85"
="5227","立凱-KY","43.7","-2.89","24.05","21.8","8.85","8.85","-8.1","+60.7","+14","+301","+173","+491","+1.91"
="5243","乙盛-KY","64.6","-2.12","63.3","54.5","49.6","33.75","-8.5","-4.44","-4.01","+3.19","+92","-736","-2.35"
="5258","虹堡","33.5","-9.95","25.85","19.85","17.8","17.8","-4.42","+22","+49.2","+46","+55.8","-14","-0.03"
="5285","界霖","107","-5.31","104","83.2","56.3","46.95","-20.1","-1.38","-6.55","+46.2","+126","+246","+0.35"
="5309","系統電","38","-4.52","30","28.35","23.9","23.9","+0.8","+17.1","+8.26","+12.3","-20.2","-2,180","-4.43"
="5347","世界","150.5","+4.15","136","129","98.6","95.6","+1.35","+2.38","+5.24","+31.4","+49.8","-10,120","-7.97"
="5351","鈺創","82.5","+8.84","39.9","36.3","19.9","16.35","+26.3","+87.5","+76.5","+197","+369","-5,605","-1.35"
="5371","中光電","68","+0.59","53.1","52.1","51","34.3","+7.77","+25.5","+25.5","+13.5","+95.4","-10","-0.01"
="5425","台半","80.2","-8.97","60.1","56","38.55","38.55","-10.2","+23.4","+1.26","+56.9","+68.1","-2,505","-0.98"
="5457","宣德","82.5","-1.2","78.1","69.4","53.2","53.2","-6.04","-3.4","+8.41","+25.2","-20.7","+743","+4.44"
="5483","中美晶","191.5","-0.78","174","160","140","106.5","-2.79","+5.8","+2.41","+11.3","+80.7","-947","-2.09"
="5608","四維航","44.3","+2.31","39.75","39.75","23.4","6.96","+7.79","-9.03","-15","+24.6","+517","-6,679","-7.44"
="5871","中租-KY","261.5","-1.32","226","222","180","150.5","-4.91","+10.8","+18.3","+28.5","+74.3","+2,558","+16.8"
="5880","合庫金","22.8","0","21.75","20.9","19.9","19.15","+0.66","+3.64","+2.7","+4.83","+14.6","-707","-2.29"
="6104","創惟","138.5","0","114","96","48","48","-8.88","+7.78","+13.5","+104","+101","+1,075","+1.12"
="6116","彩晶","15.45","+0.98","13.25","13.25","13.25","9.16","+9.96","+5.1","-21.4","-32.5","+62.3","-7,856","-3.03"
="6118","建達","17.75","+9.91","13.2","12.4","10.9","10.1","-0.84","+29.1","+28.6","+23.7","+74","-1,294","-3.43"
="6125","廣運","26.8","-1.29","25.7","21.6","19","19","-3.07","+1.9","-4.8","+8.72","-25.9","-1,953","-5.54"
="6126","信音","27.1","-3.39","24.05","22.15","21.15","21.15","+2.85","+3.24","+12.7","-0.18","+21.5","-674","-3.56"
="6129","普誠","30.75","+0.49","25.45","23.85","23.85","7.6","-2.07","+8.85","-14.5","+1.49","+305","-120","-0.69"
="6138","茂達","182.5","+1.96","150","140.5","110.5","78.2","-5.44","+8.31","+8.63","+35.7","+123","+315","+1.65"
="6143","振曜","52.9","-3.29","49.25","40.6","37.7","34.55","-9.57","-0.94","-3.47","+9.41","+52.4","-134","-0.87"
="6147","頎邦","65.9","+0.15","60.3","60.3","60.3","60.3","+1.23","+4.11","-15.9","-7.18","+2.97","-5,596","-17.7"
="6150","撼訊","163.5","+2.19","134.5","114.5","114.5","66.7","+6.17","+22","+3.81","-30.1","+169","-95","-0.4"
="6163","華電網","22.25","-1.98","18.5","16.35","14.8","14.8","-2.41","+7.75","+24.3","+13.8","+45.9","-26","-0.06"
="6168","宏齊","26.15","-1.32","22.1","21.6","16","13.75","-4.91","+10.8","-9.67","+28.5","+90.9","-5,146","-7.89"
="6170","統振","47.7","+0.42","37.7","32.05","20.8","16.6","-12.2","+25.4","+23.7","+82.1","+155","+2,248","+7.32"
="6173","信昌電","57.6","-3.52","50.1","49.75","49.75","49.75","+5.69","+8.27","-12.9","-14.4","-4.16","-268","-1.7"
="6182","合晶","66.6","+0.45","54.5","54.5","40.05","32.2","-2.06","+8.65","+1.68","+29.3","+106","-3,293","-1.92"
="6190","萬泰科","27.4","+1.86","22.25","21.85","18.05","15.7","+19.1","+13.7","+7.45","+2.62","+75.1","+531","+1.57"
="6191","精成科","37","-0.27","30","30","25.65","22.2","+4.52","+20.1","+2.92","+13.1","+67.8","+7,923","+20.5"
="6213","聯茂","128.5","-2.28","124.5","123","106","106","-0.39","-1.91","-4.1","-4.46","-1.91","-685","-3.69"
="6217","中探針","59.2","-4.98","45","37.1","28.85","28.85","-6.18","+25.4","+48.4","+53.8","+77.5","+1,858","+2.03"
="6223","旺矽","121.5","-2.8","109","98.5","87.6","87.6","-5.45","+2.97","-16.5","+2.1","+13.6","-333","-1.21"
="6226","光鼎","14.9","-6.58","12.65","11.9","7.6","7.6","+5.67","+12.5","-15.1","+50.5","+80.6","-757","-0.56"
="6237","驊訊","104.5","-3.24","72","66.8","66.8","40.9","-6.7","+25.9","-21.7","-12.2","+151","-428","-0.69"
="6239","力成","97","+0.31","93.5","93.5","92","86.3","-0.31","-3.48","-14.5","-7.62","+12.8","-6,845","-41.1"
="6244","茂迪","33.8","-0.44","29","27.25","26","25.95","+2.89","+18","+4.97","-4.25","-4.52","+730","+0.95"
="6251","定穎","21.75","+0.46","18.5","18.5","15.75","15.75","+1.4","+8.75","-7.05","+8.21","+19.5","-5,283","-9.47"
="6257","矽格","60.2","0","53.5","53.5","43.65","39.4","+1.01","+6.74","-13.9","+17.1","+53.4","+2,789","+9.69"
="6269","台郡","99.7","+1.73","92","92","92","92","+3.53","+1.22","-20.6","-14.8","-15.9","+2,111","+12.4"
="6271","同欣電","266","-1.48","214.5","208","145","133","-3.62","+12.7","+14.7","+50.3","+100","-433","-0.92"
="6278","台表科","110.5","+0.45","99.1","97.1","91.1","91.1","-4.33","+4.74","-7.92","-3.07","+1.38","+280","+1.13"
="6282","康舒","34.7","+1.31","26.4","25.05","22.5","22.5","-4.41","+23.7","+24.8","+22.8","+28.8","+5,640","+2.68"
="6283","淳安","48.85","-1.11","40.5","38","37.8","33.7","-9.54","+10.3","-5.88","-4.59","+32.4","-862","-4.19"
="6285","啟碁","77.5","-2.52","69.6","67.6","58.8","58.8","-1.4","+4.31","+7.64","+12.3","-2.27","+1,739","+3.77"
="6411","晶焱","215","+0.23","182.5","127","103","84.5","+0.94","+1.9","+31.9","+60.4","+156","+889","+0.82"
="6443","元晶","37.6","0","30.1","26.25","26.25","26.25","+7.43","+26.4","+17.9","-2.46","+7.43","+2,336","+0.57"
="6477","安集","45.4","-0.55","34.2","30.15","30.15","30.15","-8.65","+33.5","+3.65","-21.3","-26.5","-438","-0.64"
="6485","點序","128","+0.39","106","100","81.7","25.35","-3.76","+13.3","-23.8","+7.11","+407","-968","-4.18"
="6488","環球晶","758","-1.94","732","708","621","416","-2.82","-3.07","-10.5","+6.61","+79.6","-2,440","-14.8"
="6505","台塑化","102","0","100","90.3","90.3","81.3","+0.49","+0.49","+5.48","-5.12","+25.8","+1,854","+11.4"
="6509","聚和","67","-0.89","54.1","49.1","26.2","23.45","-16.2","+21.6","+10.7","+136","+164","-3,516","-1.5"
="6525","捷敏-KY","100.5","-1.95","90.4","85.2","67.6","56.6","-8.22","+5.13","-9.46","+32.4","+78.2","-1,569","-8.7"
="6531","愛普*","513","+0.59","372.5","372.5","372.5","328","-13.2","","-28.7","-22.7","+57.4","+864","+1.65"
="6548","長科*","100","-1.48","91.2","87","52.3","45.35","-6.54","+8.93","-0.99","+61.3","+121","-1,950","-8.66"
="6603","富強鑫","17.2","+0.58","14.3","13.1","10.95","10.95","-0.29","+3.3","+10.6","+16.2","+36.5","-810","-5"
="6706","惠特","221","-0.45","171.5","157","129.5","129.5","+2.08","+24.9","+21.4","+32.3","+53.5","-1,911","-4.41"
="8016","矽創","269","+0.75","218","218","212","131","+4.87","+15","-26","+2.67","+108","-985","-4.08"
="8021","尖點","40.85","-8.2","36.3","35.05","31.3","21.5","-5.33","+7.5","-5.98","+5.28","+90.4","+1,869","+4.29"
="8040","九暘","64.8","-1.82","50.6","49.05","33.75","15.45","-6.09","+15.3","+0.62","+46.9","+298","+431","+1.74"
="8044","網家","145","-2.68","108.5","101.5","85.6","77.3","-1.02","+27.8","+22.4","+65.1","+53","+4,344","+10"
="8046","南電","536","-3.94","388.5","343","252","125.5","+4.28","+24.7","+33.2","+74.6","+324","+1,911","+3.56"
="8054","安國","51.6","-3.55","41.2","38.6","33.4","17.35","-7.03","+14.5","-5.32","+15.6","+189","-297","-1.03"
="8069","元太","88.3","-5.46","73.9","64.2","51","38.9","-7.64","+19.3","+9.15","+47.4","+125","+14,660","+12.2"
="8070","長華*","35","-0.43","30","29.25","28.4","21.7","+2.94","+12.4","-0.14","-2.91","+61.7","+368","+1.75"
="8086","宏捷科","149","-1.97","132","129","107","100.5","-7.45","+4.93","-5.99","+15.1","+44.7","-1,332","-5.24"
="8103","瀚荃","48.8","-1.11","38.3","37.75","33.2","29.8","+2.52","+20.3","-1.41","+19.6","+63.5","+1,559","+4.58"
="8110","華東","17.45","-0.29","15.7","15.35","12.25","10.65","-0.57","+5.44","-24.1","+7.38","+65.4","-661","-2.65"
="8112","至上","43.3","-0.23","41.35","41.3","35.4","30.1","-2.91","+0.35","-0.46","+1.17","+42.9","-3,016","-11.4"
="8121","越峰","47.1","-9.07","36.85","16.55","13.75","13.75","+0.32","+12.9","+125","+153","+179","-187","-0.16"
="8150","南茂","46.9","+0.43","42.1","42.1","38.6","29","+0.54","+3.76","-13.5","+4.57","+62.3","-2,233","-9.59"
="8183","精星","46.1","-1.18","37.1","34.15","33.6","18","-10.5","+17.9","-9.25","+4.65","+153","-82","-0.37"
="8201","無敵","17.7","+0.57","14.45","10.65","8.74","8.74","-4.07","+17.6","+51.9","+63.1","+87.9","+396","+0.64"
="8215","明基材","36.8","-1.21","30.1","30.1","21.15","21.15","-6.6","+16.8","-7.65","+28","+60","-90","-0.1"
="8255","朋程","252","-6.84","199","182","96.5","91","-11.4","+19.1","+12.2","+112","+177","+414","+0.74"
="8261","富鼎","105","-4.11","80.1","75.2","52.1","40.5","-3.23","+23.7","-2.78","+48.9","+157","-2,059","-2.42"
="8358","金居","74","-0.67","65.5","62.4","60.7","38.3","-3.77","+4.23","-12","+3.64","+92.2","+3","+0.01"
="9105","泰金寶-DR","4.53","-6.02","4.01","4","4","3.42","+10.5","+5.59","-1.95","-17","-7.36","-585","-1.05"
="9904","寶成","34.2","+1.33","31.8","31.55","29.5","25.9","-0.58","+3.95","-2.7","-2.29","+32.3","-3,790","-15.2"
="9945","潤泰新","67.5","+0.75","54.1","54.1","48.15","38.5","-4.8","+18.8","+4.01","+23.6","+68.5","+7,005","+12.3"
