"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W45外資買賣超張數","21W45外資買賣超佔成交(%)"
="2340","光磊","43.3","-2.15","29.3","29.25","21.85","21.85","-8.17","+37.9","+31.6","+55.2","+80","-892","-0.36"
="2342","茂矽","43.35","-1.37","39","37.95","26.3","26.3","-12.4","+1.05","-3.24","+23.3","+56.2","-369","-0.8"
="2344","華邦電","27.35","+1.86","23.75","23.75","23.75","17","+3.8","+7.05","-19.4","-16.6","+57.6","+155","+0.09"
="2345","智邦","282.5","-0.18","232","226","226","211.5","+12.1","+9.71","-13.2","-1.05","+31.7","+124","+0.53"
="2347","聯強","56.7","+0.18","50.8","50.5","49.8","42.2","+4.61","+8.62","+5.78","-0.53","+31.7","+486","+2.29"
="2349","錸德","9.95","+0.1","9.18","8.9","8.35","8.35","+1.95","+6.87","-13.5","-11.2","-7.01","+1,267","+8.41"
="2351","順德","158","-2.77","138","116.5","72.2","61.2","-13.4","+7.48","+10.1","+80.8","+161","+2,845","+4.91"
="2352","佳世達","32.25","+0.47","29.7","27.4","26.2","19.15","+2.06","+8.77","+7.68","-5.84","+69.3","+4,986","+13.2"
="2353","宏碁","26.45","+0.95","24.35","23.45","23.45","22.2","+0.95","+7.3","-2.04","-24.9","+12.3","-17,770","-29.2"
="2354","鴻準","69.6","-0.57","66.5","62","55.8","51","+1.46","-0.71","+10.8","+6.42","+35.7","+4,111","+10"
="2356","英業達","26.45","-0.19","26","23.1","23.1","22.15","-0.38","-0.94","+13","-0.38","+18.6","+4,301","+16.7"
="2358","廷鑫","23.25","+0.43","22","18.7","12.5","12.5","+1.97","+3.79","+10.7","+29.2","+55.5","-1,573","-7.97"
="2363","矽統","25.4","+0.59","22.7","22.2","16.85","11","+3.89","+4.74","-13.5","+14.2","+129","+4,999","+6.53"
="2368","金像電","68.9","-1.29","63.2","56.5","38.65","38.65","+3.14","+2.53","-1.29","+35.1","+55.5","+733","+0.77"
="2369","菱生","25.8","-0.19","23.2","23.2","13.55","10.85","-0.58","+0.98","-13.6","+34.4","+141","-5,550","-9.01"
="2371","大同","34.6","+1.17","33.4","24.8","20.25","18.7","+2.67","+2.52","+32.1","+34.6","+69.6","-4,545","-2.89"
="2374","佳能","18.7","-2.09","15.65","14.45","13.55","13.05","-10.5","+17.6","+19.5","+11.6","+42.7","-8,217","-11.4"
="2376","技嘉","133.5","+7.66","100.5","80.5","80.5","71.8","+11.7","+32.8","+34.7","+4.3","+83.6","-4,761","-2.65"
="2377","微星","158","+4.29","135","117","117","113","+11.3","+15.3","+4.64","-17.3","+32.2","-7,470","-16.3"
="2382","廣達","81.5","+1.88","76.3","72.5","72.5","70.8","+3.82","+3.82","+5.16","-13.8","+10.4","+2,802","+11.4"
="2388","威盛","76.5","+9.91","38.05","38.05","38.05","37.1","+12","+89.1","+50","+40.9","+102","+751","+0.2"
="2399","映泰","23","+7.98","18.05","17.1","17.1","13.2","+11.1","+21.7","-11.7","-26.9","+38.6","-280","-1.16"
="2401","凌陽","38.55","-1.41","31.8","30.6","23.4","14.05","-3.26","+11.6","-4.34","+26.4","+165","-1,203","-0.51"
="2406","國碩","23.85","-0.21","23.25","20.2","14.5","14.5","-7.02","-1.85","-6.65","+26.2","-4.41","-246","-0.25"
="2408","南亞科","67.6","+2.89","59.4","59.4","59.4","59.1","+0.9","+9.74","-8.28","-17.7","+13","-710","-1.01"
="2409","友達","21.1","+1.93","16.7","16.25","16.25","10.35","+9.9","+23.4","-2.31","-21.4","+84.3","+82,621","+10.4"
="2412","中華電","111.5","+0.45","110","109","108.5","108","+0.45","0","-5.11","-2.19","+1.83","-4,985","-14.2"
="2419","仲琦","23.15","+1.54","18.55","17.9","17.9","17.9","+9.2","+21.8","+15.8","+5.47","+16","+288","+0.92"
="2426","鼎元","25.8","+1.57","20.75","19.7","19.7","15.45","-9.95","+17","-1.53","-6.18","+47.4","-2,185","-4.14"
="2436","偉詮電","82.5","+1.98","70.4","65","50.6","30.3","-7.3","+2.74","+7","+24.8","+171","-2,039","-2.17"
="2439","美律","92.5","-3.04","77.3","77.3","77.3","77.3","+2.32","+8.44","-15.1","-13.6","-34.2","-50","-0.2"
="2449","京元電子","41.95","+0.6","36.4","36.4","36.4","31.65","+4.61","+8.4","-13.6","-11.7","+31.7","+3,393","+6.34"
="2454","聯發科","980","+4.26","839","839","821","662","+6.29","+7.69","+6.41","+0.1","+40","+3,355","+20.9"
="2455","全新","133","-0.75","116","109.5","89.6","84.3","-7.96","+4.31","+2.7","+20.4","+55.6","-5,870","-17"
="2457","飛宏","35.5","+3.2","29.7","27.95","25.6","11.1","-3.53","+13.4","-4.18","+0.57","+192","-210","-0.31"
="2458","義隆","165","+1.85","144","141","141","127.5","-2.94","+5.1","-2.94","-16","+20.4","-110","-0.47"
="2465","麗臺","75.9","+8.27","57.8","52","37.5","16.05","+14","+25.2","+2.43","+52.7","+349","+363","+1.03"
="2476","鉅祥","60.5","+0.17","52.4","46.8","28.3","18.65","-11.3","+8.04","+3.42","+64","+224","-5,189","-6.99"
="2481","強茂","99.2","-9.82","86.7","78","39.6","37.5","-19.7","+5.53","-1.29","+94.1","+163","-20,913","-6.98"
="2484","希華","34.1","+2.1","29.25","28.45","22.8","20.5","-3.12","+7.91","-5.15","+17.4","+63.9","+2,285","+11.1"
="2485","兆赫","21.65","-0.23","17.4","17","17","16.7","+5.61","+19","+11","-7.68","+21.3","+381","+0.9"
="2486","一詮","55.7","-3.63","49","42.8","23.05","13","-9.28","+5.49","-6.23","+82.3","+324","-633","-0.24"
="2492","華新科","151.5","-1.62","138","138","138","138","+1","+2.36","-24.6","-31.8","-14.9","-4,756","-11.4"
="2498","宏達電","77","+10","33.8","33.7","31.55","27.7","+6.8","+121","+99.5","+89.9","+167","+4,041","+3.5"
="2504","國產","25","+1.21","23.95","21.1","20.8","20.6","-2.72","+2.46","+11.4","-8.26","-6.54","-3,393","-20.1"
="2511","太子","12.9","-1.15","12.5","12.4","10.8","10.65","-1.9","-0.39","-0.77","-1.9","+20.6","-3,117","-20.5"
="2515","中工","9.15","-2.56","8.51","8.22","8.03","7.47","+3.04","+7.9","+2.69","-12.4","+23","+11,713","+16.3"
="2538","基泰","13.05","+1.95","11.3","10.85","9.2","9.2","+3.98","+4.82","+17.6","+23.1","+34.7","+161","+0.49"
="2601","益航","13.4","+3.47","12.3","12.3","10.7","8.85","+4.28","-3.25","-20.2","-17","+51.2","-7,407","-13.4"
="2603","長榮","124","+8.77","85.5","85.5","63.1","19.05","+23.4","+24","-13","+32.6","+509","-33,724","-3.14"
="2605","新興","29.7","+4.58","26","26","21","14.3","+6.83","-18.1","-22.3","-15.1","+108","-1,730","-2.48"
="2606","裕民","55.2","+2.99","50","50","42.75","28.65","+5.95","-24.3","-12.4","-18.6","+91.7","-1,540","-2.01"
="2607","榮運","28.45","+3.27","25.85","25.85","17.1","14.8","+5.57","+0.18","-15.2","+20.3","+90.3","-4,400","-11.8"
="2609","陽明","118","+9.77","83.6","83.6","66.6","12.1","+20.4","+21.9","-10.9","+17.4","+815","-6,960","-1.14"
="2610","華航","21","+7.42","16.05","15.4","13.55","8.29","+16","+25.7","+11.7","+18","+152","+148,957","+13.9"
="2611","志信","22.4","+4.19","20.05","20.05","12.6","7","+3.46","-1.32","-25.6","+19.5","+218","-3,407","-11.9"
="2612","中航","59.5","+2.41","54.4","54.4","34.9","25.05","+6.44","-18.9","-5.41","+20.4","+139","-769","-4.06"
="2614","東森","34.4","-3.51","29.2","29.2","14.4","14.4","+6.67","+10.3","-14","+108","+97.1","-23,779","-8.39"
="2615","萬海","190","+6.74","146.5","146.5","73","29","+19.9","+12.1","-17","+87.2","+547","-7,989","-2.57"
="2617","台航","37","+3.79","34.25","34.25","29.65","16.65","+5.41","-7.96","-17.8","-27","+123","-3,294","-10.5"
="2618","長榮航","23.5","+8.8","18.1","17.05","13.15","11","+19.6","+28.1","+17.5","+34.3","+114","+138,757","+18.3"
="2633","台灣高鐵","29.15","+0.34","28.2","28.2","26.8","26.8","+0.52","+0.17","-3.16","-6.72","-3.8","-920","-5.17"
="2636","台驊投控","139","+3.73","119.5","119.5","59.2","35.15","+6.51","+5.3","-24","+69.3","+262","-8,608","-11"
="2637","慧洋-KY","71.6","+1.85","63.8","63.8","53.1","21.2","+6.87","-6.16","-10.1","-4.66","+239","-3,543","-5.51"
="2641","正德","25.6","+3.64","23","23","14.2","7.85","+7.34","-11.9","-15.1","+10.1","+219","-3,297","-6.84"
="2801","彰銀","16.6","0","16.2","16.1","15.95","15.95","+0.91","+1.84","-0.6","-7.78","-5.95","-1,590","-8.24"
="2812","台中銀","11.95","0","11.55","11.35","11","10.65","0","+3.46","0","-0.83","+10.1","+886","+4.48"
="2823","中壽","28.95","+0.35","28.75","26.6","22.25","19.4","+0.52","-1.03","+8.43","+8.83","+48.8","-2,273","-5.99"
="2834","臺企銀","9.48","+0.11","9.41","9.39","9.3","9.1","+0.11","-0.21","-0.94","-6.6","-1.86","-24,510","-39.4"
="2880","華南金","20.4","+0.25","19.95","19.4","17.4","17.15","+0.25","+1.24","+3.29","+6.81","+15.3","-9,504","-24.9"
="2881","富邦金","73.6","+1.52","72","72","65.1","42.1","+0.68","-2.26","-3.29","-3.92","+75.4","-12,424","-12"
="2882","國泰金","58.7","+0.34","55.7","53.2","48.15","39.35","+1.91","+2.8","+6.34","+0.86","+49.4","+3,082","+4.67"
="2883","開發金","14.3","+1.06","13.95","12.9","11","8.57","+1.42","+1.06","+5.15","+7.12","+66.7","-32,785","-21.2"
="2884","玉山金","26.9","+0.37","25.85","25.8","24.4","23.6","+0.94","+3.46","0","+0.37","+6.32","+10,382","+18.9"
="2885","元大金","24.7","+0.2","24.15","23.15","22.95","18.25","+0.61","+1.02","-4.26","-7.49","+35","-11,411","-28.3"
="2886","兆豐金","33.6","-0.3","31.9","30.6","30.05","28.15","+0.9","+4.19","+1.2","+1.82","+17.9","+619","+1.13"
="2887","台新金","18.2","-0.27","17.65","16.7","13.65","12.5","-0.27","+1.39","+6.74","+19.7","+40","-1,874","-2.9"
="2888","新光金","9.83","+1.03","9.23","8.93","8.76","8.03","+0.61","+5.13","+7.9","-4.56","+21.1","-29,443","-19.3"
="2890","永豐金","14.2","+0.35","13.65","13.2","12.5","10.95","+0.35","+2.9","0","+1.43","+29.7","-8,220","-12.6"
="2891","中信金","23.4","+0.86","22.5","21.05","21.05","18.6","+1.52","+2.18","+1.3","-2.3","+25.5","+7,843","+6.22"
="2892","第一金","23","0","22.1","21.95","20.6","20.2","+0.66","+2.68","-0.22","+0.88","+10","-5,576","-11.6"
="2915","潤泰全","102.5","+0.49","84.2","84.2","77.8","66.2","-6.82","+13.1","+9.16","+15.4","+55.1","+1,262","+4.78"
="3003","健和興","94.1","-1.98","83.3","79.6","56.3","38.85","-7.29","+4.91","+1.84","+30.7","+143","-2,053","-4.7"
="3006","晶豪科","139","-3.81","111.5","110","97.7","40.5","-5.76","+16.3","-18.2","+1.09","+233","+2,219","+2.28"
="3011","今皓","12","-2.44","9.75","8.2","6.53","6.1","-4.38","+21.1","+33.3","+38.9","+95.1","+101","+0.57"
="3016","嘉晶","96.6","-4.83","82.4","75","54.7","54.7","-7.56","+11.7","+11.8","+38.6","+59.4","-1,888","-1.76"
="3017","奇鋐","80.4","-0.62","71.2","66.8","52.5","52.5","-2.19","+5.93","+4.69","+16.2","+18.2","+415","+0.83"
="3019","亞光","84.1","-3.44","72.8","70","66.5","64.7","-4.1","+11.4","-2.21","+1.94","+30","+753","+2.89"
="3025","星通","25.55","+0.39","19.25","17.95","17.95","17.95","+3.02","+23.4","+23.7","-12","+35.9","-77","-0.32"
="3031","佰鴻","24.5","-1.61","20.2","20.05","14.85","13.25","+1.24","+11.4","-9.09","+28.6","+83.5","-2,437","-6.84"
="3033","威健","28.4","+0.71","25.5","22.6","19.85","18","+1.97","+6.77","+15.9","+19.1","+54.3","+3,126","+8.16"
="3034","聯詠","456.5","+1.9","364","364","364","283.5","+9.08","+17.4","-15.1","-16.2","+67.2","+2,627","+6.11"
="3035","智原","181","-8.12","125.5","84.8","52.3","42.95","-13.8","+39.2","+83.2","+171","+326","+15,589","+6.17"
="3037","欣興","190","-2.56","115","115","85.2","69.3","+0.53","+46.2","+31","+87.2","+176","+746","+0.22"
="3042","晶技","97.9","-0.31","95.1","94.4","85.1","71.5","-8.5","-2.1","-19.8","-4.95","+28.1","-5,047","-11.6"
="3049","和鑫","12.5","+0.81","11.1","10.6","10.3","9.35","+4.17","+5.93","-3.47","-5.3","+25","+4,468","+20.4"
="3050","鈺德","17.45","-0.85","14.95","13.55","12.5","11.8","+1.45","+14.8","+17.1","+7.38","+43","+588","+3.31"
="3051","力特","10.15","-2.87","8.5","8.28","6.72","4.41","+1","+14","-18.1","+21.6","+126","-210","-0.99"
="3058","立德","17.25","+5.83","12.7","12.7","12.6","7.75","-1.99","+25.5","+1.47","-4.43","+97.4","-705","-1.85"
="3059","華晶科","37.35","-1.19","31","30.4","27.4","25.65","-3.11","+14.2","+0.81","+0.67","+44.5","+1,184","+2.27"
="3062","建漢","25.6","-2.48","17.5","16.6","14.55","14.15","-1.92","+34.7","+33.3","+36.2","+81.6","-1,365","-0.49"
="3105","穩懋","347","-2.53","295","290.5","276.5","276.5","-3.21","+13.6","+2.66","+2.51","+10.5","+2,643","+10.6"
="3122","笙泉","47.05","-2.39","38.3","37.25","28","12.55","+0.32","+14.9","-9.52","+23.8","+279","-222","-1.19"
="3141","晶宏","213.5","-4.47","143.5","118","48.4","30.2","-10.1","+27.5","+40.9","+255","+609","-103","-0.13"
="3167","大量","84.8","-1.85","68.2","64","55.2","42.35","+5.34","+19.3","+11.9","+24.7","+98.8","+217","+1.16"
="3169","亞信","171.5","-2.28","124","112","96.6","38","-3.65","+29.4","+7.19","+39.4","+353","+462","+1.1"
="3178","公準","77.1","-3.87","62.8","60.1","58","45","+2.66","+15.6","+5.18","+8.13","+66.3","-102","-0.62"
="3189","景碩","242.5","-2.81","197.5","159","80.1","73.1","+1.25","+9.73","+37.8","+152","+214","+6,785","+5.53"
