"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W46外資買賣超張數","21W46外資買賣超佔成交(%)","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價"
="0050","元大台灣50","140.95","+0.89","135.2","130.2","128","110.4","+1.26","+3.45","+4.14","+11.4","+29","+12,834","+35","141.25","143.5","143.5","143.5"
="0056","元大高股息","32.43","+0.71","30.59","30.59","30.59","28.68","+0.12","+0.37","-1.31","-0.98","+13.7","+13,103","+8.64","32.52","33.59","36.05","36.17"
"00632R","元大台灣50反1","5.33","-0.74","5.31","5.31","5.31","5.31","-1.48","-4.99","-6.49","-17.5","-32.2","+1,151","+0.24","5.64","5.9","6.36","7.78"
"00637L","元大滬深300正2","21.55","-0.37","20.43","18.84","18.84","18.84","-1.42","-6.39","-2.27","-21.4","-8.1","+5,719","+2.51","23.77","23.77","30.25","37.59"
"00642U","期元大S&P石油","14.02","-0.78","13.85","10.86","10.54","7.45","-2.16","-1.06","+20.1","+26.3","+87.7","+1,341","+4","14.75","14.75","14.75","14.75"
"00664R","國泰臺灣加權反1","6.03","-0.66","6.02","6.02","6.02","6.02","-1.47","-5.19","-6.8","-17.8","-32.5","0","0","6.39","6.69","7.22","8.84"
"00676R","富邦臺灣加權反1","3.29","-0.9","3.28","3.28","3.28","3.28","-1.5","-5.46","-6.53","-17.8","-32.2","-9","-0.04","3.49","3.65","3.94","4.81"
="00692","富邦公司治理","36.75","+0.88","34.9","33.51","32.82","28.2","+1.52","+4.73","+5.57","+11.8","+31.4","-991","-5.91","36.78","36.78","36.78","36.78"
="00713","元大台灣高息低波","45.69","+0.82","43.74","42.37","39.17","33.64","+0.86","+4.27","+5.89","+17.3","+30.5","-1,282","-3.2","45.71","45.71","45.71","45.71"
"00715L","期街口布蘭特正2","11.17","-1.15","10.99","7.04","6.75","3.3","-4.2","-6.21","+41.2","+50.3","+241","-2,053","-1.2","12.29","12.29","12.29","12.29"
="00731","FH富時高息低波","63.2","+2.1","60.6","56.6","54.05","46.6","+2.6","+4.29","+8.87","+16.8","+30.8","0","0","63.35","63.35","63.35","63.35"
